Version,Config,Problem,Type,Iteration,Duration,Generations,Speed,Cost,Tours,Unassigned
1.10.8,default,delivery.1000.json,pragmatic,10,282,10000,35.3600,3917.8000,25,0
master,default,delivery.100,pragmatic,11,41,10000,241.6400,642.4100,5,0
1.10.8,default,delivery.100,pragmatic,11,40,10000,248.3900,640.0300,5,0
master,default,delivery.1000,pragmatic,11,417,10000,23.9600,3184.2700,25,0
1.10.8,default,delivery.1000,pragmatic,11,384,10000,26.0400,3178.5800,25,0
master,default,multi-job.25,pragmatic,11,1440,10000,6.9400,321.3000,2,0
1.10.8,default,multi-job.25,pragmatic,11,924,10000,10.8200,312.7100,2,0
master,default,multi-vtype.1000,pragmatic,11,532,10000,18.7900,3185.9300,25,0
1.10.8,default,multi-vtype.1000,pragmatic,11,431,10000,23.1900,3188.4800,25,0
master,default,reload.100,pragmatic,11,103,10000,96.8600,468.1600,4,0
1.10.8,default,reload.100,pragmatic,11,95,10000,105.2200,466.9200,4,0
master,default,delivery.1000.json,pragmatic,11,320,10000,31.1800,3927.1700,25,0
1.10.8,default,delivery.1000.json,pragmatic,11,279,10000,35.7800,3936.8100,25,0
